2022-05-25 00:02:57.829 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - The following profiles are active: bluetooth-app
2022-05-25 00:02:58.375 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-25 00:02:58.377 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-25 00:02:58.396 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-05-25 00:02:58.569 - sdk-generator - INFO  --- [main] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=994d7b6e-ae48-30ed-a5b8-3e8ac8bc426a
2022-05-25 00:02:58.795 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2022-05-25 00:02:58.801 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-25 00:02:58.801 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-05-25 00:02:58.880 - sdk-generator - INFO  --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-25 00:02:58.880 - sdk-generator - INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1036 ms
2022-05-25 00:03:00.880 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-25 00:03:01.308 - sdk-generator - INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-25 00:03:01.315 - sdk-generator - INFO  --- [main] c.saidake.common.swagger2.SwaggerAutoConfiguration - sdk.swagger.enabled start check
2022-05-25 00:03:03.017 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-25 00:03:03.041 - sdk-generator - WARN  --- [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-25 00:03:03.212 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 48123 (http) with context path ''
2022-05-25 00:03:03.219 - sdk-generator - INFO  --- [main] c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sdk-generator 192.168.22.1:48123 register finished
2022-05-25 00:03:04.632 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-25 00:03:04.632 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-25 00:03:04.648 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-25 00:03:04.674 - sdk-generator - INFO  --- [main] s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-25 00:03:04.741 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - Started GeneratorApp in 10.514 seconds (JVM running for 11.283)
2022-05-25 00:03:04.743 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建父文件夹成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tUser
2022-05-25 00:03:04.744 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tUser\AccountVo.java
2022-05-25 00:03:04.746 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tUser\LalaFaFaVo.java
2022-05-25 00:03:04.746 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建父文件夹成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tOther
2022-05-25 00:03:04.747 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tOther\DDBaBaVo.java
2022-05-25 00:03:04.747 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tOther\KKDaDaVo.java
2022-05-25 00:10:45.213 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - The following profiles are active: bluetooth-app
2022-05-25 00:10:45.774 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-25 00:10:45.776 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-25 00:10:45.794 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-05-25 00:10:45.962 - sdk-generator - INFO  --- [main] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=994d7b6e-ae48-30ed-a5b8-3e8ac8bc426a
2022-05-25 00:10:46.194 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2022-05-25 00:10:46.200 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-25 00:10:46.201 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-05-25 00:10:46.272 - sdk-generator - INFO  --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-25 00:10:46.273 - sdk-generator - INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1046 ms
2022-05-25 00:10:48.228 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-25 00:10:48.660 - sdk-generator - INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-25 00:10:48.666 - sdk-generator - INFO  --- [main] c.saidake.common.swagger2.SwaggerAutoConfiguration - sdk.swagger.enabled start check
2022-05-25 00:10:50.344 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
