2022-05-23 02:23:26.371 - sdk-generator - INFO  --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-23 02:23:26.371 - sdk-generator - INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1056 ms
2022-05-23 02:23:28.836 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:23:29.573 - sdk-generator - INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-23 02:23:29.579 - sdk-generator - INFO  --- [main] c.saidake.common.swagger2.SwaggerAutoConfiguration - sdk.swagger.enabled start check
2022-05-23 02:23:31.761 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:23:31.788 - sdk-generator - WARN  --- [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-23 02:23:31.978 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 48123 (http) with context path ''
2022-05-23 02:23:31.989 - sdk-generator - INFO  --- [main] c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sdk-generator 192.168.22.1:48123 register finished
2022-05-23 02:23:33.848 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:23:33.848 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-23 02:23:33.864 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-23 02:23:33.889 - sdk-generator - INFO  --- [main] s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-23 02:23:33.957 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - Started GeneratorApp in 13.166 seconds (JVM running for 14.461)
2022-05-23 02:23:33.963 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\TUserShareService.java
2022-05-23 02:23:33.963 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\TUserShareService.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\impl\TUserShareServiceImpl.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\impl\TUserShareServiceImpl.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:23:33.964 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:23:33.965 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入追加文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:23:33.966 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:23:33.968 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入特殊服务dto文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:23:33.968 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareCancelAccountRequest.java
2022-05-23 02:23:33.969 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入特殊服务dto文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareCancelAccountRequest.java
2022-05-23 02:39:06.178 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - The following profiles are active: bluetooth-app
2022-05-23 02:39:06.747 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-23 02:39:06.749 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-23 02:39:06.768 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-05-23 02:39:06.944 - sdk-generator - INFO  --- [main] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=994d7b6e-ae48-30ed-a5b8-3e8ac8bc426a
2022-05-23 02:39:07.177 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2022-05-23 02:39:07.183 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-23 02:39:07.183 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-05-23 02:39:07.267 - sdk-generator - INFO  --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-23 02:39:07.267 - sdk-generator - INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1074 ms
2022-05-23 02:39:09.703 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:39:10.450 - sdk-generator - INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-23 02:39:10.456 - sdk-generator - INFO  --- [main] c.saidake.common.swagger2.SwaggerAutoConfiguration - sdk.swagger.enabled start check
2022-05-23 02:39:12.603 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:39:12.628 - sdk-generator - WARN  --- [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-23 02:39:12.797 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 48123 (http) with context path ''
2022-05-23 02:39:12.804 - sdk-generator - INFO  --- [main] c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sdk-generator 192.168.22.1:48123 register finished
2022-05-23 02:39:14.671 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:39:14.671 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-23 02:39:14.687 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-23 02:39:14.711 - sdk-generator - INFO  --- [main] s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-23 02:39:14.776 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - Started GeneratorApp in 13.232 seconds (JVM running for 14.514)
2022-05-23 02:39:14.781 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入service文件成功: D:\Desktop\DevProject\bluetooth-app - Copy (2)\src\main\java\com\saidake\service\TUserShareService.java
2022-05-23 02:39:14.781 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入serviceImpl文件成功: D:\Desktop\DevProject\bluetooth-app - Copy (2)\src\main\java\com\saidake\service\impl\TUserShareServiceImpl.java
2022-05-23 02:39:14.783 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入controller文件成功: D:\Desktop\DevProject\bluetooth-app - Copy (2)\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:39:14.784 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app - Copy (2)\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:39:14.786 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入特殊服务dto文件成功: D:\Desktop\DevProject\bluetooth-app - Copy (2)\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
